"schoolname","State","District","No.students","percAmericanIndian","percAsian","percHawaiian","percBlack","percHispanic","percWhite","More","Lep","percIdea","perc504","Zip","Montessori","SCHID","ps","kinder","first","second","third","fourth","fifth","sixth","seventh","eighth","nineth","tenth","eleventh","twelfth","magnet","charter","SCHOOL_NAME","title","FRLperc","distance","weights","subclass","Corporal punishment_White","Corporal punishment_Black","Corporal punishment_Hispanic","Corporal punishment_tot_dis","in-school suspensions_White","in-school suspensions_Black","in-school suspensions_Hispanic","in-school suspensions_tot_dis","only one out-of-school_White","only one out-of-school_Black","only one out-of-school_Hispanic","only one out-of-school_tot_dis","more than one out-of-school_White","more than one out-of-school_Black","more than one out-of-school_Hispanic","more than one out-of-school_tot_dis","Expulsions_White","Expulsions_Black","Expulsions_Hispanic","Expulsions_tot_dis","Transferred_White","Transferred_Black","Transferred_Hispanic","Transferred_tot_dis","Referral_White","Referral_Black","Referral_Hispanic","Referral_tot_dis","arrest_White","arrest_Black","arrest_Hispanic","arrest_tot_dis"
"northhimountel","TX","fortworthisd",403,0,2,0,14.4,48.6,30.5,4.7,15.9,7.7,5,76107,0,1892,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"NORTH HI MOUNT EL",1,52.2,-1.29753428080612,1,69,0,0,0,0,2,1,1,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"northlakesacademy","MN","northlakesacademy",191,0,2.6,0,4.2,6.3,84.3,2.1,2.6,29.3,5.8,55025,0,3045,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,"NORTH LAKES ACADEMY",1,24.2,-0.678062268301855,1,47,0,0,0,0,14,1,1,0,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"northparkmontessoriacademy","MI","grandrapidspublicschools",495,0.6,1.2,0,8.3,9.7,69.7,10.5,2.2,13.5,0,49525,1,7746,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"North Park Montessori Academy",1,38.3,-0.619869349000654,1,95,0,0,0,0,0,0,0,NA,4,3,3,NA,5,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ozarkmontessoriacademyspringdale","AR","ozarkmontessoriacademyspringdale",187,0,0,1.6,1.6,36.9,58.8,0.5,17.1,0,1.1,72764,1,1612,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"OZARK MONTESSORI ACADEMY SPRINGDALE",1,35.5,1.06506061647404,1,96,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"parkerwoodsmontessori","OH","cincinnaticity",591,0,1,0,56.5,2.4,32.7,7.1,4,20.5,3.9,45229,1,393,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"Parker Woods Montessori",1,87.1,-0.951603751613448,1,97,0,0,0,0,11,106,3,NA,0,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"parkwaymontessori/communitymiddle","MN","st.paulpublicschooldistrict",569,1.2,41,0,23.9,16.7,13,4.2,23,15.8,1.2,55106,1,4681,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,"PARKWAY MONTESSORI/COMMUNITY MIDDLE",1,79.1,-4.39995067146795,1,98,0,0,0,0,5,32,10,NA,5,24,11,NA,5,41,9,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"patcooperel","TX","georgetownisd",553,0,0.2,0,5.2,50.5,40,4.3,18,9.9,1.4,78626,0,7488,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"PAT COOPER EL",1,58.2,-2.46865171202826,1,21,0,0,0,0,20,5,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pearlshawthorneschool","NY","yonkerscityschooldistrict",881,0.1,20.5,0,13.4,37.3,25.3,3.1,1.6,8.5,0.9,10705,0,4539,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"PEARLS HAWTHORNE SCHOOL",1,30.4,-0.441700299360883,1,125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pecosconnectionsacademy","NM","carlsbadmunicipalschools",512,6.1,0.2,0.8,3.9,46.7,36.9,6,1,14.6,0,88220,0,1127,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,"PECOS CONNECTIONS ACADEMY",1,60.7,-1.3565158402566,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pinewoodelementary","MN","rochesterpublicschooldistrict",327,1,4,0,15,9,63,9,13,12,1,55904,0,1009,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"PINEWOOD ELEMENTARY",1,36.7,-0.964228629623622,1,22,0,0,0,0,0,2,0,1,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pittsburghdilworthk-5","PA","pittsburghsd",496,0.6,1,0.2,60.7,2.2,28.8,6.5,0,8.7,0.2,15206,0,6024,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Pittsburgh Dilworth K-5",1,53.8,-0.244171308958209,1,111,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pittsburghfultonk-5","PA","pittsburghsd",355,0,2,0.8,79.2,1.7,10.7,5.4,1,19.4,0.3,15206,0,6026,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Pittsburgh Fulton K-5",1,77.3,-0.685455768114153,1,55,0,0,0,0,0,0,0,0,0,13,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pittsburghmontessorik-5","PA","pittsburghsd",354,0,3,0.8,18.9,1.7,69.5,6.2,0,8.2,1.4,15206,1,351,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Pittsburgh Montessori K-5",1,29.2,0.935215791720715,1,99,0,0,0,0,0,0,0,NA,1,6,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"pleasantridgemontessorischool","OH","cincinnaticity",657,0,0,0,50.8,4,36.8,8.4,3.8,23.3,5.2,45213,1,362,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Pleasant Ridge Montessori School",1,99.5,-2.75885250241874,1,100,0,0,0,0,0,1,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"polkstatelakelandgatewaytocollegecharterhighschool","FL","polk",214,0,1,0,32.2,19,42.5,3.7,2,2,4.7,33803,0,8246,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,"POLK STATE LAKELAND GATEWAY TO COLLEGE CHARTER HIGH SCHOOL",1,4.7,-1.27077682183773,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"prescottvalleyschool","AZ","prescottvalleycharterschool",258,1.9,1,0.8,1.2,39.5,54,1.9,10,22.9,4.7,86314,0,2321,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,"Prescott Valley School",1,75.6,-0.233545944454774,1,24,0,0,0,0,26,0,20,2,5,0,3,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"renaissancecharteratcrownpoint","FL","orange",787,0.4,6.5,1.3,34.2,28,26.3,3.4,9.1,8,5,34761,0,8564,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,"RENAISSANCE CHARTER AT CROWN POINT",1,17.7,-0.212672638144664,1,18,0,0,0,0,0,0,0,0,10,22,9,8,3,18,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ridgemoorparkmontessori","MI","grandrapidspublicschools",83,0,2.4,0,30.1,15.7,41,10.8,7.2,14.5,0,49546,1,8812,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Ridgemoor Park Montessori",1,58,-1.01702283654826,1,102,0,0,0,0,0,2,0,NA,0,1,0,NA,1,3,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ridgeparkcharteracademy","MI","ridgeparkcharteracademy",585,0.2,2.9,0,61,15.7,15.6,4.6,26.5,11.1,0.3,49546,0,1135,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"Ridge Park Charter Academy",1,81.9,-1.33098547240638,1,86,0,0,0,0,2,27,5,6,3,35,7,9,2,24,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"river'sedgemontessoriprek-6school","OH","daytoncity",554,0,2,0,50,4.3,37.9,5.6,13.5,11.4,0.4,45405,1,791,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"River's Edge Montessori PreK-6 School",1,99.5,-2.70658079647224,1,103,0,0,0,0,0,0,0,NA,3,11,0,NA,1,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"riverviewmiddle","WI","barronareaschooldistrict",378,0,0,0,11,6.3,78.8,3.2,9,15.1,0,54812,0,118,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"Riverview Middle",1,54.9,-4.0922013550648,1,7,0,0,0,0,12,6,0,5,8,5,1,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"riverwaylearningcommunitychtr","MN","riverwaylearningcommunitychtr",67,0,0,0,26.9,0,73.1,0,0,28,0,55987,0,3478,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"RIVERWAY LEARNING COMMUNITY CHTR",1,66.7,0.799954324043705,1,104,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rochelleschoolofthearts","FL","polk",849,0,1,0,45.9,17.2,32.2,4,3,4,6,33880,0,1719,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"ROCHELLE SCHOOL OF THE ARTS",1,44.9,0.826980591049737,1,113,0,0,0,0,2,12,2,0,10,52,2,8,0,66,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rocklinindependentcharteracademy","CA","rocklinunified",151,2,5.3,0,0,14.6,66.2,11.9,0.7,9.9,0,95765,0,13722,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,"Rocklin Independent Charter Academy",1,29.8,0.942164841910909,1,112,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"roselandmontessori","LA","tangipahoaparish",459,0,0,0,37,0.9,57.7,4.4,0,15.9,15.5,70586,1,1321,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Roseland Montessori",1,38.9,1.91688999718833,1,104,0,0,0,0,8,18,0,NA,8,6,0,NA,1,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"rosenthalmontessorielementaryschool","LA","rapidesparish",391,0,1.5,0,80.6,0.5,17.4,0,0,4.3,1.5,71301,1,1076,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"Rosenthal Montessori Elementary School",1,80.6,-1.44946470856234,1,105,0,0,0,0,0,0,0,NA,0,2,0,NA,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"sandsmontessorielementaryschool","OH","cincinnaticity",703,0,1.8,0,14.5,1.6,72.7,9.2,0.9,11.7,4.4,45230,1,372,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"Sands Montessori Elementary School",1,19.5,0.378623650416408,1,106,0,0,0,0,7,7,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"school15-children'sschoolofrochester(the)","NY","rochestercityschooldistrict",347,0,25.4,0,39.5,15,19.6,1,37.2,12.1,1.2,14605,0,1623,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"SCHOOL 15-CHILDREN'S SCHOOL OF ROCHESTER (THE)",1,85.1,-0.597341097126606,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"school17","NY","yonkerscityschooldistrict",449,0.4,4.5,0,20,60.1,12.5,2.4,14.5,18.3,0,10704,0,4261,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"SCHOOL 17",1,58.4,-1.49465063228985,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"school21","NY","yonkerscityschooldistrict",461,0.7,7.4,0,14.3,52.7,22.8,2,16.3,8,0,10705,0,4264,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,"SCHOOL 21",1,62.8,-1.0446568217458,1,49,0,0,0,0,0,0,0,0,1,1,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"school29","NY","yonkerscityschooldistrict",638,0.2,7.2,0,27.9,50,14.3,0.9,6.6,27.9,0.9,12205,0,4271,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"SCHOOL 29",1,61.4,-1.14260361138868,1,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"school53montessoriacademy","NY","rochestercityschooldistrict",311,0.6,1,0,65.3,17.4,13.5,2,1.9,11.9,2.6,14605,1,4361,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,"SCHOOL 53 MONTESSORI ACADEMY",1,74.3,-1.52367208458734,1,107,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"sigsbeecharterschool","FL","monroe",507,0,2.2,1,4,20.3,65.1,8.3,5.1,10.1,4.1,33170,0,7698,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"SIGSBEE CHARTER SCHOOL",1,3.6,0.887538593681669,1,61,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"simondselementaryschool","MI","lampherepublicschools",314,0.3,4.8,0,6.1,3.5,78.3,7,15.6,17.8,0,48071,0,5784,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Simonds Elementary School",1,54,-1.44929415086677,1,105,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sixthstreetprep","CA","victorelementary",246,0.8,5.3,0.4,6.9,72.4,13.8,0.4,32.5,8,0,92395,0,7280,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,"Sixth Street Prep",1,73.6,-1.99350574981718,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sladeelementary","WY","albanycountyschooldistrict#1",285,1.4,3.9,0,1.8,18,71,3.5,8.1,15.1,1.4,84414,0,20,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Slade Elementary",1,36.7,-0.980960590043623,1,60,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"somersetvillageacademy","FL","broward",261,0,0,0,64.4,26.4,6.9,1.5,26.1,7.3,1,33311,0,7837,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"SOMERSET VILLAGE ACADEMY",1,95,-1.53302979762457,1,89,0,0,0,0,2,15,1,4,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"southbrowardmontessoricharterschool","FL","broward",140,0,2.1,0,24.3,54.3,19.3,0,40.7,1.4,0.7,33020,1,8237,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"SOUTH BROWARD MONTESSORI CHARTER SCHOOL",1,57.9,-0.739897313515124,1,109,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"southmckeelacademy","FL","polk",1195,0,4,0,7.5,15,70.8,2.2,1,4,7.4,33803,0,5341,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,"SOUTH MCKEEL ACADEMY",1,27.5,1.00434600301256,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"springcreekelementary","WY","albanycountyschooldistrict#1",326,0.6,2.1,0,1.2,13.5,78.5,4,5.5,16.9,0.3,82070,0,6,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Spring Creek Elementary",1,22.7,-2.68002545599733,1,124,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"steelemontessoriacademy","TX","sanantonioisd",105,0,0,0,2.9,87.6,7.6,1.9,2.9,8,6.7,78501,1,13656,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"STEELE MONTESSORI ACADEMY",1,75.2,0.527350140574139,1,110,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"stonebrookmontessori","OH","stonebrookmontessori",177,1,1,1,85.3,2,6.2,4.5,0,9.6,0.6,44108,1,5849,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,"Stonebrook Montessori",1,57.9,0.76954342923659,1,111,0,0,0,0,0,0,0,NA,0,1,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"sudermontessorielemmagnetschl","IL","cityofchicagosd299",413,1,4,0,55.9,16.7,18,3.6,6.1,13.6,9,60612,1,5801,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Suder Montessori Elem Magnet Schl",1,55.1,1.962639464307,1,113,0,0,0,0,0,19,1,NA,0,4,0,NA,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"taftprimaryschool","IL","kankakeesd111",395,0,0,0,63,14.2,18.7,3.5,9.6,14.2,0.8,61107,0,2358,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"Taft Primary School",1,72.1,-2.5786447744443,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tangiacademy","LA","tangipahoacharterschoolassociation",330,1.2,0.3,0,47,8.2,42,2.1,0.3,10.3,2.1,70403,0,2418,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,"Tangi Academy",1,25.8,0.869771480646973,1,88,0,0,0,0,5,17,2,7,7,20,1,4,9,20,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"theolivetreemontessoriacademy","TX","eastfortworthmontessoriacademy",79,0,13.9,0,46,12.7,25.3,2.5,40.5,1.3,0,76710,1,12879,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"THE OLIVE TREE MONTESSORI ACADEMY",1,50.6,1.2943972037142,1,114,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"treasurevillagemontessoricharterschool","FL","monroe",207,0,2.4,0.5,0.5,18.4,77.3,1,1,12.6,3.4,33040,1,3619,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,"TREASURE VILLAGE MONTESSORI CHARTER SCHOOL",1,33.2,2.87516105267807,1,115,0,0,0,0,0,0,0,NA,0,0,0,NA,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"tremontmontessorischool","OH","clevelandmunicipal",577,0,0,0,67.6,6.8,20,4.7,1.4,18.4,0.3,44113,1,542,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Tremont Montessori School",1,99.5,-2.10553921971021,1,116,0,0,0,0,3,39,3,NA,1,41,3,NA,3,63,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"trianglelakemontessorielem","NC","guilfordcountyschools",518,0.6,9.5,1,56.4,12.4,18,2.3,5.2,10.2,0,27260,1,2524,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Triangle Lake Montessori Elem",1,61.8,-0.745681442926494,1,117,0,0,0,0,0,0,0,NA,1,7,0,NA,0,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"trowbridgestreetschoolofgreatlakesstudies","WI","milwaukeeschooldistrict",263,1.5,1.1,0,19.8,43.3,25.9,8.4,2.3,23.6,0.8,53207,0,1259,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Trowbridge Street School of Great Lakes Studies",1,80.1,-1.529677883374,1,20,0,0,0,0,0,0,0,0,1,6,4,7,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"universallearningacademy","MI","universallearningacademy",777,0.1,1.3,0,9.8,1.4,84.7,3,48.4,7.3,0.5,48185,0,7820,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,"Universal Learning Academy",1,77.7,0.509796706310373,1,71,0,0,0,0,0,0,0,0,36,6,0,4,28,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"urbanmontessoricharter","CA","emeryville",366,0.3,7,0.3,20.5,30.6,28,13.9,24,12.8,2.2,94619,1,NA,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,NA,1,28.4,1.81708890647315,1,119,0,0,0,0,0,0,1,NA,1,2,3,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"velmalinfordelementary","WY","albanycountyschooldistrict#1",342,3.2,0,0,1.2,18.4,69.3,7.9,4.7,17.5,1.5,82070,0,14,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Velma Linford Elementary",1,35.7,-1.24122555480781,1,19,0,0,0,0,6,0,6,5,2,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vidrineelementaryschool","LA","evangelineparish",362,0,0,0,43.9,0.6,52.2,3,0,13,4,70586,0,481,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Vidrine Elementary School",1,49.7,0.351412600330048,1,35,0,0,0,0,11,29,0,7,1,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"viroquaareamontessorischool","WI","viroquaareaschooldistrict",110,0,2,0,0,6.4,90.9,1,3,7,2,54665,1,2972,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,"Viroqua Area Montessori School",1,26.7,-1.17976349321082,1,120,0,0,0,0,2,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"waltonschool","OH","clevelandmunicipal",287,0,0,0,30,46.7,22,1.4,19.2,13.2,0.3,45208,0,547,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Walton School",1,82.3,-1.29651791627538,1,97,0,0,0,0,0,0,0,0,4,8,8,5,1,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"washingtonmontessori2","LA","jeffersonparish",246,0.8,1.2,0,63,24.8,9.3,0.8,12.6,9.3,6.1,70403,1,652,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Washington Montessori",1,70.3,0.762489184887164,1,121,0,0,0,0,0,0,0,NA,1,16,2,NA,0,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"westrockauthorsacademy","CT","newhavenschooldistrict",217,0,0.5,0,53.5,24,19.4,2.3,1.8,16,0.9,10454,0,647,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,"West Rock Authors Academy",1,72.4,-0.583209553882992,1,84,0,0,0,0,1,1,0,0,0,8,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wexfordmontessorimagnetschool","MI","lansingpublicschooldistrict",382,0,3.7,0,29.1,11.8,41.1,14,11,14.4,1,48911,1,5821,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Wexford Montessori Magnet School",1,73.3,-0.89301986863425,1,122,0,0,0,0,2,4,2,NA,6,8,3,NA,2,4,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"whittierelementary","WI","milwaukeeschooldistrict",219,0,4.6,0,6.8,26.5,53.9,8.2,0.9,10.5,0.5,53211,0,1271,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,"Whittier Elementary",1,44.6,0.967078913104571,1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"willsonschool","OH","clevelandmunicipal",349,0,1,0,86,5,6.3,2,1,29.5,0.3,44113,0,5637,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Willson School",1,99.1,-1.88852753559914,1,52,0,0,0,0,0,0,0,0,1,44,0,15,0,52,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wilsonelementary","WI","wauwatosaschooldistrict",160,1.9,10.6,0,9,5.6,65.6,6.9,5,11.3,0,53218,0,2093,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Wilson Elementary",1,13.9,-0.211025616211031,1,99,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wilsonmontessori","TX","houstonisd",588,0,6.6,0.2,6.3,41.8,39.3,5.8,22.8,9,13.6,77018,1,2616,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"WILSON MONTESSORI",1,34.2,2.38347011386363,1,123,0,0,0,0,0,1,0,NA,0,1,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"woodlandparkmagnet","LA","tangipahoaparish",485,0.4,0,0,81,2.3,9,7.8,2.3,12.6,3.1,70456,0,1991,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Woodland Park Magnet",1,78.4,0.681938043814553,1,31,0,0,0,0,7,137,1,20,7,67,1,9,3,82,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"woodwardschoolfortechnologyandresearch","MI","kalamazoopublicschools",351,0.3,0.6,0,70.1,6.6,13.4,9,3.7,11.1,2,49037,0,5676,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,"Woodward School for Technology and Research",1,92.1,-0.369432481692963,1,14,0,0,0,0,0,1,0,0,2,26,0,0,2,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yonkersmontessoriacademy","NY","yonkerscityschooldistrict",1387,0.3,3.5,0,14,44.3,37.1,0.8,3.2,19.5,1.3,10705,1,4247,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"YONKERS MONTESSORI ACADEMY",1,55.4,-2.68268318317103,1,124,0,0,0,0,0,0,0,NA,2,6,11,NA,1,2,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
